Number,value,Batch_size,Learning_rate,Epochs,MAE,Pearson_correlation,R2,RMSE
1,23.23089218,16,2.00E-05,1,22.929264,0.045957481,-37.7084744,23.230892
2,22.68007278,16,2.00E-05,2,22.371433,0.051752575,-35.8946338,22.680073
3,22.25021172,16,2.00E-05,3,21.935772,0.059934451,-34.50934203,22.250212
4,22.08232498,16,2.00E-05,4,21.765587,0.064743437,-33.9754963,22.082325
5,21.60852623,16,2.00E-05,5,21.283987,0.064390601,-32.49073282,21.608526
6,19.89971161,16,2.00E-05,6,19.538372,0.06668925,-27.40323855,19.899712
7,17.40167999,16,2.00E-05,7,16.957909,0.068267228,-20.71984136,17.40168
8,16.19791031,16,2.00E-05,8,15.6919,0.065339322,-17.81881538,16.19791
9,15.18012428,16,2.00E-05,9,14.604545,0.067411613,-15.52817708,15.180124
10,11.13274574,16,2.00E-05,10,10.117399,0.067377817,-7.889531336,11.132746
11,23.21626091,16,3.00E-05,1,22.914768,0.084280576,-37.65973076,23.21626
12,22.57106018,16,3.00E-05,2,22.261126,0.058556988,-35.54081392,22.57106
13,21.11953926,16,3.00E-05,3,20.785955,0.063123531,-30.99213267,21.11954
14,19.44832039,16,3.00E-05,4,19.073551,0.067418241,-26.12929414,19.44832
15,17.40345955,16,3.00E-05,5,16.955008,0.066014609,-20.72428864,17.40346
16,15.04760742,16,3.00E-05,6,14.454692,0.067443743,-15.24086851,15.047607
17,10.59193897,16,3.00E-05,7,9.463671,0.066526293,-7.0468383,10.591939
18,10.50921631,16,3.00E-05,8,9.36742,0.064940568,-6.92163802,10.509216
19,8.62441349,16,3.00E-05,9,7.088442,0.067664445,-4.334988026,8.6244135
20,6.330046654,16,3.00E-05,10,4.7773666,0.067225743,-1.874009122,6.3300467
21,22.89263153,16,5.00E-05,1,22.58708,0.059912645,-36.58942615,22.892632
22,20.71660233,16,5.00E-05,2,20.37439,0.062824505,-29.78303276,20.716602
23,19.83893013,16,5.00E-05,3,19.474478,0.062100876,-27.22999621,19.83893
24,13.86205006,16,5.00E-05,4,13.18066,0.067594265,-12.78253871,13.86205
25,8.257058144,16,5.00E-05,5,6.6702485,0.066722373,-3.89018195,8.257058
26,7.61345911,16,5.00E-05,6,6.0242724,0.06595731,-3.157558277,7.613459
27,6.315823555,16,5.00E-05,7,4.763039,0.066657851,-1.861108156,6.3158236
28,5.972257137,16,5.00E-05,8,4.5267344,0.065290947,-1.558298877,5.972257
29,6.045006275,16,5.00E-05,9,4.588884,0.06687965,-1.621005092,6.0450063
30,5.703793049,16,5.00E-05,10,4.3436093,0.068334098,-1.333467638,5.703793
31,23.5456543,32,2.00E-05,1,23.24776,0.015729763,-38.76452841,23.545654
32,23.17530441,32,2.00E-05,2,22.873491,0.071283748,-37.52344877,23.175304
33,22.84280968,32,2.00E-05,3,22.536886,0.072563899,-36.42599015,22.84281
34,22.61273384,32,2.00E-05,4,22.303074,0.049163257,-35.67587137,22.612734
35,22.43954086,32,2.00E-05,5,22.127926,0.062363211,-35.1162199,22.43954
36,22.10025215,32,2.00E-05,6,21.783419,0.060846007,-34.0323071,22.100252
37,21.41872597,32,2.00E-05,7,21.09102,0.062678304,-31.90497927,21.418726
38,20.90529442,32,2.00E-05,8,20.567228,0.063547046,-30.34633952,20.905294
39,21.59376526,32,2.00E-05,9,21.268385,0.05909913,-32.44499131,21.593765
40,20.28883934,32,2.00E-05,10,19.936926,0.064823663,-28.52491951,20.28884
41,23.33115959,32,3.00E-05,1,23.031029,0.079268392,-38.04334196,23.33116
42,23.02214432,32,3.00E-05,2,22.718227,0.063921645,-37.01595189,23.022144
43,23.03549767,32,3.00E-05,3,22.731882,0.066139421,-37.06006565,23.035498
44,22.70024109,32,3.00E-05,4,22.39206,0.056990189,-35.96028156,22.700241
45,21.85877037,32,3.00E-05,5,21.538467,0.065602769,-33.27091713,21.85877
46,20.45539284,32,3.00E-05,6,20.107933,0.062462335,-29.01165669,20.455393
47,21.06106186,32,3.00E-05,7,20.725765,0.062608947,-30.81521131,21.061062
48,19.37053108,32,3.00E-05,8,18.995115,0.065777687,-25.91270804,19.370531
49,16.33584976,32,3.00E-05,9,15.832815,0.065765401,-18.14070064,16.33585
50,17.80465126,32,3.00E-05,10,17.373507,0.065348145,-21.73742609,17.804651
51,23.11613083,32,5.00E-05,1,22.813108,0.048228516,-37.32698079,23.11613
52,22.71588516,32,5.00E-05,2,22.408045,0.062541659,-36.01124417,22.715885
53,21.85827065,32,5.00E-05,3,21.538115,0.066894176,-33.26935176,21.85827
54,20.32240105,32,5.00E-05,4,19.971497,0.065756154,-28.62268232,20.322401
55,20.59082794,32,5.00E-05,5,20.246504,0.06864582,-29.41038514,20.590828
56,18.98864365,32,5.00E-05,6,18.601866,0.063522101,-24.86200653,18.988644
57,14.19239426,32,5.00E-05,7,13.547206,0.067419087,-13.44726467,14.192394
58,14.45630741,32,5.00E-05,8,13.828591,0.066015841,-13.98956764,14.456307
59,8.729609489,32,5.00E-05,9,7.2393036,0.069539196,-4.465928828,8.7296095
60,8.646085739,32,5.00E-05,10,7.1517234,0.064757643,-4.361834098,8.646086
